"year","cowcode","ln_gdpen"
1977,771,-0.054456156
1978,771,0.007968185
1979,771,0.085259832
1980,771,0.08158002
1981,771,0.080657892
1982,771,0.166361526
1983,771,0.065787703
1984,771,0.13102825
1985,771,0.195566759
1986,771,0.231905088
1987,771,0.223943263
1988,771,0.260824591
1989,771,0.318453729
1990,771,0.329303741
1991,771,0.387979776
1992,771,0.412109643
1993,771,0.441254318
1994,771,0.465984344
1995,771,0.498320162
1996,771,0.527670979
1997,771,0.564220607
1998,771,0.599136472
1999,771,0.630635381
2000,771,0.859620745
1966,53,0.842788008
1967,53,0.845606404
1968,53,0.85230294
1969,53,0.855603718
1970,53,0.855335456
1971,53,0.857912922
1972,53,0.858133792
1973,53,0.858631434
1974,53,0.857759263
1975,53,0.858582426
1976,53,0.85981944
1977,53,0.859001182
1978,53,0.859287471
1979,53,0.861046429
1980,53,0.859993011
1981,53,0.858574571
1982,53,0.859544039
1983,53,0.861467816
1984,53,0.858355258
1985,53,0.859701102
1986,53,0.858100631
1987,53,0.859946335
1988,53,0.857678504
1989,53,0.859289556
1990,53,0.859665403
1991,53,0.859786441
1992,53,0.858780364
1993,53,0.859868818
1994,53,0.85918792
1995,53,0.8605854
1996,53,0.861261845
1997,53,0.857565012
1998,53,0.855482179
1999,53,0.858329584
2000,53,0.857715478
1991,370,1.627948165
1992,370,1.522413969
1993,370,1.438756347
1994,370,1.304273009
1995,370,1.197435379
1996,370,1.228175402
1997,370,1.330137968
1998,370,1.419212103
1999,370,1.461839199
2000,370,0.857821151
1945,211,1.292258382
1946,211,1.308873177
1947,211,1.393269897
1948,211,1.422867417
1949,211,1.419003487
1950,211,1.489076614
1951,211,1.50917542
1952,211,1.515566707
1953,211,1.534929872
1954,211,1.572358847
1955,211,1.612832189
1956,211,1.635885
1957,211,1.652497411
1958,211,1.626884818
1959,211,1.653072
1960,211,1.703838587
1961,211,1.749547601
1962,211,1.793757439
1963,211,1.825355411
1964,211,1.883882761
1965,211,1.909394383
1966,211,1.93311429
1967,211,1.964171052
1968,211,1.9993155
1969,211,2.057707071
1970,211,2.119983435
1971,211,2.148734331
1972,211,2.192435265
1973,211,2.249711514
1974,211,2.289601088
1975,211,2.265194654
1976,211,2.31806469
1977,211,2.322779894
1978,211,2.348036289
1979,211,2.368279219
1980,211,2.407755613
1981,211,2.382227659
1982,211,2.396621704
1983,211,2.395346642
1984,211,2.419122934
1985,211,2.423474312
1986,211,2.438950062
1987,211,2.461893797
1988,211,2.511142731
1989,211,2.549757719
1990,211,2.582638264
1991,211,2.595926046
1992,211,2.601503849
1993,211,2.582446098
1994,211,2.603358269
1995,211,2.621812344
1996,211,2.629597664
1997,211,2.66193223
1998,211,2.686350346
1999,211,2.709226131
2000,211,0.85562608
1981,80,0.840780966
1982,80,0.845244922
1983,80,0.854787317
1984,80,0.854018801
1985,80,0.858529726
1986,80,0.857282744
1987,80,0.858885473
1988,80,0.859794809
1989,80,0.860795969
1990,80,0.860923609
1991,80,0.859762679
1992,80,0.860084524
1993,80,0.861014256
1994,80,0.860190588
1995,80,0.860254825
1996,80,0.861077227
1997,80,0.859444429
1998,80,0.857939795
1999,80,0.858110552
2000,80,0.857894515
1960,434,0.095310204
1961,434,0.109750912
1962,434,0.07603468
1963,434,0.121332243
1964,434,0.121332243
1965,434,0.174793273
1966,434,0.164666638
1967,434,0.138021305
1968,434,0.098033778
1969,434,0.05732508
1970,434,0.111541405
1971,434,0.093490392
1972,434,0.123985954
1973,434,0.13889204
1974,434,0.104360029
1975,434,0.050693158
1976,434,0.001997977
1977,434,0.022739489
1978,434,0.016857078
1979,434,0.054488178
1980,434,0.10795711
1981,434,0.162968874
1982,434,0.017839925
1983,434,0.007968185
1984,434,0.032467183
1985,434,0.102556624
1986,434,0.061095066
1987,434,-0.005012537
1988,434,-0.005012537
1989,434,-0.082295239
1990,434,-0.083381593
1991,434,-0.05551273
1992,434,-0.045606099
1993,434,-0.039976113
1994,434,-0.025413828
1995,434,-0.008179287
1996,434,0.018103134
1997,434,0.046051141
1998,434,0.062604733
1999,434,0.083494328
2000,434,0.85679246
1971,760,-1.038458347
1972,760,-0.991553247
1973,760,-0.946749926
1974,760,-0.901402175
1975,760,-0.848632097
1976,760,-0.802962005
1977,760,-0.752897203
1978,760,-0.713349879
1979,760,-0.661648571
1980,760,-0.627929211
1981,760,-0.551705837
1982,760,-0.520426929
1983,760,-0.460253835
1984,760,-0.409848452
1985,760,-0.397496939
1986,760,-0.323510975
1987,760,-0.175981596
1988,760,-0.18802309
1989,760,-0.168099269
1990,760,-0.114940241
1991,760,-0.107470721
1992,760,-0.094413884
1993,760,-0.066621862
1994,760,-0.018240277
1995,760,0.018492904
1996,760,0.042516191
1997,760,0.088064916
1998,760,0.127081856
1999,760,0.16540508
2000,760,0.856981441
1945,145,0.852016158
1946,145,0.035367157
1947,145,0.056380305
1948,145,0.07603468
1949,145,0.123102233
1950,145,0.242161602
1951,145,0.333611012
1952,145,0.324255079
1953,145,0.168898553
1954,145,0.166361526
1955,145,0.229523167
1956,145,0.14928171
1957,145,0.130150735
1958,145,0.128393188
1959,145,0.09984535
1960,145,0.138021305
1961,145,0.139761925
1962,145,0.198030829
1963,145,0.234281346
1964,145,0.244513541
1965,145,0.297137201
1966,145,0.333611012
1967,145,0.3569749
1968,145,0.435023874
1969,145,0.441475511
1970,145,0.507419825
1971,145,0.530039847
1972,145,0.526502073
1973,145,0.589451909
1974,145,0.608678043
1975,145,0.607044518
1976,145,0.667829394
1977,145,0.681580544
1978,145,0.700619221
1979,145,0.7149086
1980,145,0.687631965
1981,145,0.699129283
1982,145,0.622724712
1983,145,0.596636295
1984,145,0.576613367
1985,145,0.561898887
1986,145,0.515215993
1987,145,0.511025608
1988,145,0.512823582
1989,145,0.50982511
1990,145,0.505612075
1991,145,0.52827251
1992,145,0.542905509
1993,145,0.560646117
1994,145,0.582208335
1995,145,0.60376662
1996,145,0.623257279
1997,145,0.648295701
1998,145,0.678700328
1999,145,0.661364377
2000,145,0.857649298
1991,346,0.840811546
1992,346,0.298345418
1993,346,0.309936992
1994,346,0.308195136
1995,346,0.311353989
1996,346,0.849009056
1997,346,0.845347276
1998,346,0.852324414
1999,346,0.853599367
2000,346,0.856686611
1966,571,-0.549912989
1967,571,-0.373966396
1968,571,-0.262664318
1969,571,-0.21815598
1970,571,-0.194799066
1971,571,-0.133531392
1972,571,0.012916236
1973,571,0.179818451
1974,571,0.308954209
1975,571,0.28893131
1976,571,0.375005931
1977,571,0.345007092
1978,571,0.482426167
1979,571,0.55100745
1980,571,0.662688017
1981,571,0.679555237
1982,571,0.683096826
1983,571,0.627541423
1984,571,0.666289747
1985,571,0.848868012
1986,571,0.979077697
1987,571,0.791634142
1988,571,0.879626811
1989,571,0.787547827
1990,571,0.825859964
1991,571,0.868072689
1992,571,0.869246483
1993,571,0.861878872
1994,571,0.871757686
1995,571,0.89726609
1996,571,0.940057218
1997,571,0.954846203
1998,571,0.970686495
1999,571,0.997940004
2000,571,0.858481084
1945,140,-0.123298213
